"first_name","last_name","total_number"
"Adam","Grant","3"
"Al","Garland","1"
"Alan","Dreyfuss","1"
"Albert","Johansson","2"
"Albert","Nolte","1"
"Alec","Wayne","1"
"Angela","Witherspoon","1"
"Angela","Hudson","4"
"Angelina","Astaire","1"
"Audrey","Bailey","1"
"Audrey","Olivier","1"
"Bela","Walken","3"
"Ben","Willis","2"
"Ben","Harris","1"
"Bob","Fawcett","1"
"Burt","Temple","3"
"Burt","Posey","1"
"Burt","Dukakis","3"
"Cameron","Streep","1"
"Cameron","Zellweger","4"
"Cameron","Wray","1"
"Carmen","Hunt","1"
"Cate","Mcqueen","2"
"Cate","Harris","1"
"Charlize","Dench","4"
"Christian","Akroyd","2"
"Christian","Gable","1"
"Christian","Neeson","2"
"Christopher","Berry","3"
"Cuba","Allen","1"
"Cuba","Olivier","2"
"Cuba","Birch","1"
"Dan","Torn","1"
"Dan","Streep","2"
"Dan","Harris","2"
"Daryl","Crawford","2"
"Daryl","Wahlberg","1"
"Debbie","Akroyd","1"
"Dustin","Tautou","1"
"Ed","Guiness","1"
"Ed","Mansfield","2"
"Ellen","Presley","2"
"Elvis","Marx","2"
"Ewan","Gooding","3"
"Fay","Winslet","3"
"Fay","Wood","1"
"Frances","Day-Lewis","1"
"Fred","Costner","1"
"Gary","Phoenix","1"
"Gene","Mckellen","3"
"Gene","Hopkins","2"
"Geoffrey","Heston","3"
"Gina","Degeneres","1"
"Grace","Mostel","1"
"Greg","Chaplin","1"
"Gregory","Gooding","1"
"Greta","Keitel","1"
"Greta","Malden","3"
"Groucho","Sinatra","2"
"Groucho","Williams","2"
"Groucho","Dunst","3"
"Harrison","Bale","1"
"Harvey","Hope","3"
"Helen","Voight","2"
"Henry","Berry","1"
"Humphrey","Garland","2"
"Ian","Tandy","2"
"Jada","Ryder","1"
"James","Pitt","3"
"Jayne","Neeson","2"
"Jayne","Nolte","3"
"Jayne","Silverstone","3"
"Jessica","Bailey","2"
"Jim","Mostel","2"
"Jodie","Degeneres","1"
"Joe","Swank","1"
"John","Suvari","3"
"Johnny","Lollobrigida","1"
"Johnny","Cage","2"
"Jon","Chase","2"
"Jude","Cruise","1"
"Julia","Zellweger","2"
"Julia","Barrymore","1"
"Kenneth","Paltrow","2"
"Kevin","Garland","2"
"Kirsten","Paltrow","2"
"Kirsten","Akroyd","2"
"Lisa","Monroe","2"
"Liza","Bergman","2"
"Lucille","Dee","2"
"Mae","Hoffman","3"
"Mary","Keitel","3"
"Matthew","Carrey","5"
"Matthew","Leigh","2"
"Mena","Hopper","1"
"Mena","Temple","2"
"Meryl","Gibson","2"
"Meryl","Allen","3"
"Michael","Bolger","2"
"Michael","Bening","1"
"Michelle","Mcconaughey","2"
"Milla","Peck","1"
"Milla","Keitel","3"
"Minnie","Kilmer","1"
"Minnie","Zellweger","1"
"Morgan","Mcdormand","2"
"Natalie","Hopkins","3"
"Nick","Degeneres","1"
"Nick","Stallone","2"
"Nick","Wahlberg","1"
"Olympia","Pfeiffer","3"
"Penelope","Monroe","1"
"Penelope","Guiness","2"
"Penelope","Pinkett","3"
"Ralph","Cruz","3"
"Ray","Johansson","2"
"Reese","West","2"
"Reese","Kilmer","2"
"Renee","Tracy","1"
"Renee","Ball","1"
"Rip","Winslet","5"
"River","Dean","4"
"Russell","Bacall","1"
"Russell","Close","2"
"Russell","Temple","2"
"Salma","Nolte","2"
"Sandra","Kilmer","2"
"Scarlett","Damon","3"
"Scarlett","Bening","3"
"Sean","Williams","2"
"Sean","Guiness","1"
"Sidney","Crowe","1"
"Spencer","Peck","1"
"Spencer","Depp","2"
"Susan","Davis","2"
"Sylvester","Dern","1"
"Tom","Miranda","2"
"Uma","Wood","2"
"Val","Bolger","2"
"Vivien","Basinger","3"
"Vivien","Bergen","2"
"Walter","Torn","3"
"Warren","Nolte","2"
"Warren","Jackman","2"
"Whoopi","Hurt","3"
"Will","Wilson","3"
"William","Hackman","5"
"Woody","Jolie","2"
"Woody","Hoffman","3"
"Zero","Cage","2"
